Trial,Person1,Person2,Person3,Person4,Person5,Person6,Person7,Person8,Person9,Person10,Person11,Person12,Person13,Person14,Person15
1,4.39,5.45,1.15,5.12,3.4,3.66,2.3,5.71,0.41,4.15,8.22,5.08,7.28,2.57,1.11
2,3.43,0.35,3.49,5.17,0.34,6.76,1.48,4.41,5.11,2.03,5.34,10.45,1.4,1.6,8.64
3,1.37,3.01,6.59,1.92,1.11,6.24,8.55,6.28,2.12,6.7,2.03,6.41,2.69,1.68,3.3
4,1.04,3.99,5.5,0.58,6.72,0.27,4.5,3.15,7.3,3.62,9.24,4.55,0.45,5.91,3.18
5,1.48,6.52,4.42,7.52,5.84,1.49,4.55,3.96,3.18,1.45,7.53,1.53,4.69,4.24,1.6
6,3.87,6.5,1.94,4.99,4.82,0.68,7.0,1.71,7.82,2.5,0.05,2.56,10.23,1.41,3.92
7,4.3,3.48,3.67,1.01,4.01,8.29,3.9,5.94,0.92,7.14,4.04,0.6,7.67,1.81,3.22
8,3.95,0.1,7.37,6.54,1.1,2.29,6.23,4.13,5.74,7.45,5.03,1.6,3.54,4.81,0.12
9,1.91,1.49,8.0,6.31,3.47,3.1,6.93,3.39,2.35,0.95,6.56,2.33,2.67,4.01,6.53
10,0.07,3.35,5.81,0.13,4.21,5.6,0.37,7.3,0.64,10.74,3.0,3.72,8.19,6.63,0.24
11,1.12,8.41,2.98,1.17,0.36,4.25,5.28,2.43,7.8,4.14,4.77,4.87,6.86,2.96,2.6
12,0.8,1.18,6.99,1.09,2.42,7.22,3.35,0.61,1.01,11.52,6.96,5.99,7.24,2.75,0.87
13,1.98,6.6,1.09,3.66,6.18,4.87,3.41,2.36,3.92,0.9,9.48,4.34,4.14,5.93,1.14
14,2.44,3.77,1.57,7.58,2.13,5.63,3.17,0.85,0.66,10.62,8.57,4.78,0.34,3.6,4.29
15,4.02,6.61,5.32,1.32,2.89,5.27,1.0,7.44,0.35,7.35,2.87,3.48,0.5,7.13,4.45
16,3.8,4.53,1.71,1.8,2.65,2.0,5.22,7.89,3.99,6.52,2.11,8.07,5.94,1.82,1.95
17,1.08,5.01,3.08,0.99,6.63,5.89,6.8,6.09,2.62,0.15,1.77,8.76,3.3,0.51,7.32
18,0.04,6.93,2.05,1.3,3.33,4.24,5.21,6.32,3.46,7.71,6.98,1.3,1.3,3.43,6.4
19,5.27,3.04,0.33,5.73,6.46,5.34,2.32,1.77,4.44,5.63,5.74,1.17,7.04,2.69,3.03
20,4.51,3.21,6.19,2.9,3.47,4.49,0.02,1.79,4.96,0.84,4.82,7.41,0.98,7.84,6.57
21,3.55,6.96,0.81,4.52,3.84,6.41,1.91,0.06,5.31,0.13,5.87,0.91,4.39,0.75,14.58
22,5.33,5.39,4.6,1.43,5.18,2.67,7.56,2.85,0.65,5.05,0.8,0.53,7.87,5.05,5.04
23,4.09,1.94,0.13,2.98,1.36,9.01,2.42,0.75,9.81,6.07,7.4,0.95,5.99,4.98,2.12
24,0.69,2.33,4.86,4.4,1.08,0.72,3.35,10.42,3.98,1.42,8.1,0.6,3.94,0.01,14.1
25,2.85,3.5,2.56,1.37,4.52,6.3,8.63,4.78,5.36,6.66,2.64,2.66,2.99,3.84,1.34
26,2.55,0.71,1.68,0.67,8.71,7.76,2.17,4.05,1.01,6.68,1.11,3.59,4.34,6.66,8.31
27,5.69,5.19,1.52,0.2,7.88,7.17,3.9,4.93,6.44,5.64,4.42,3.26,1.71,1.82,0.23
28,5.81,2.56,1.47,4.76,5.24,6.33,6.9,1.09,0.49,6.33,1.31,7.01,0.47,0.36,9.87
29,5.9,5.56,1.66,5.76,1.43,3.61,5.54,2.17,2.15,7.82,4.44,3.62,5.99,1.71,2.64
30,5.15,4.29,4.18,4.67,0.74,1.48,5.03,3.03,7.44,1.8,3.46,1.06,0.2,3.25,14.22
31,4.69,6.89,7.3,2.48,1.54,2.25,5.84,1.56,4.33,2.44,0.72,6.34,6.78,6.62,0.22
32,1.95,6.76,1.33,5.22,6.6,2.95,5.38,4.36,6.26,5.77,2.24,4.25,2.99,0.18,3.76
33,5.22,1.78,2.63,6.88,7.62,1.36,0.55,1.62,5.64,0.95,4.38,3.62,4.79,12.16,0.8
34,0.14,6.89,3.17,2.16,0.83,3.36,3.53,2.5,3.65,10.04,0.9,5.53,5.76,3.42,8.12
35,5.07,3.64,2.97,3.91,2.67,0.73,3.33,0.96,6.57,7.47,1.37,4.4,9.57,0.22,7.12
36,7.72,0.3,5.84,6.77,6.48,2.93,6.22,3.77,0.54,0.86,2.81,6.04,5.13,2.09,2.5
37,3.07,7.33,3.0,3.53,5.92,0.66,6.62,1.81,6.77,1.24,7.47,3.38,1.57,4.63,3.0
38,4.31,5.47,5.0,6.0,5.78,3.29,6.25,4.79,4.05,3.21,3.27,2.89,2.1,2.43,1.16
39,0.64,1.67,4.48,3.2,4.53,5.08,6.33,4.72,2.52,0.91,3.31,4.81,1.0,12.78,4.02
40,5.13,4.62,1.99,5.67,7.13,3.82,3.7,5.91,4.51,4.38,3.87,4.52,0.4,4.14,0.21
41,4.39,5.3,4.61,7.6,0.67,4.11,1.58,6.8,3.57,0.45,4.54,7.1,5.65,2.25,1.38
42,1.55,4.33,4.69,5.67,6.36,6.95,5.72,1.2,2.84,6.11,4.84,1.73,0.43,4.87,2.71
43,3.01,0.44,3.86,3.76,0.21,8.74,2.72,3.21,8.39,0.82,8.05,5.25,0.35,9.59,1.6
44,3.11,7.55,0.9,1.53,6.23,3.78,2.92,8.43,3.6,2.41,6.5,1.49,1.99,5.52,4.04
45,0.06,0.47,1.23,8.08,7.41,3.53,8.71,2.57,1.75,6.05,1.96,3.74,0.83,4.75,8.86
46,0.95,2.89,6.99,0.7,7.12,0.01,1.69,6.41,9.4,4.04,0.27,8.76,2.12,8.1,0.55
47,4.38,7.21,2.66,1.4,1.05,5.88,7.48,2.31,4.44,5.23,7.06,0.74,3.77,0.12,6.27
48,5.23,1.63,1.24,8.42,1.63,2.34,4.63,4.89,5.39,1.28,8.47,1.97,8.52,4.3,0.06
49,1.4,2.68,6.27,2.95,3.21,3.49,8.76,0.8,0.6,1.71,8.58,0.53,7.75,6.82,4.45
50,6.22,1.4,6.83,1.81,2.51,7.4,3.94,0.67,0.13,1.58,10.81,4.92,5.84,4.94,1.0
51,3.68,4.14,4.49,5.56,5.52,4.58,3.66,5.59,4.07,5.31,5.11,1.44,2.11,0.1,4.64
52,3.61,7.93,3.25,3.76,5.84,1.26,6.21,0.99,5.92,3.85,0.15,1.98,2.04,11.67,1.54
53,4.78,7.7,6.36,0.41,2.56,4.7,1.98,0.84,3.29,8.99,0.34,1.4,5.51,9.25,1.89
54,1.89,6.51,0.63,5.56,2.25,2.11,5.0,2.84,6.36,1.82,0.93,8.3,7.09,2.67,6.04
55,0.27,3.58,3.68,7.33,5.36,1.6,0.26,9.2,4.83,4.08,1.88,7.64,4.5,5.59,0.2
56,4.78,1.31,3.7,5.09,1.63,1.42,1.46,3.57,4.49,4.01,7.95,0.76,11.74,4.87,3.22
57,5.74,6.89,6.72,2.52,0.83,4.05,7.16,1.75,3.92,0.9,0.61,5.38,8.38,0.89,4.26
58,3.97,3.95,1.16,4.55,2.89,8.34,0.42,0.91,5.34,2.25,0.08,11.79,3.1,11.08,0.17
59,3.75,3.29,3.48,6.28,3.94,2.23,0.25,3.22,1.44,0.06,11.25,0.95,7.24,8.13,4.49
60,0.24,7.82,5.41,0.33,4.1,1.59,2.67,1.78,8.62,7.29,7.68,5.33,4.48,0.53,2.13
61,1.8,0.34,7.72,0.93,3.69,6.6,4.41,4.02,6.41,2.75,0.1,3.51,4.16,12.14,1.42
62,7.13,4.09,1.57,2.13,3.66,0.81,4.91,5.24,4.63,6.48,1.11,3.39,5.1,6.3,3.45
63,6.88,6.9,4.38,0.24,6.8,0.78,2.98,1.91,4.94,6.99,0.64,5.27,5.84,1.89,3.56
64,5.31,6.86,5.85,4.49,0.7,0.22,7.06,1.43,3.37,7.75,0.73,0.56,3.32,6.43,5.92
65,1.24,6.72,1.6,8.26,0.39,4.27,0.05,6.68,1.78,7.28,1.45,7.91,0.78,4.54,7.05
66,2.12,6.87,3.47,6.22,4.54,1.58,7.64,4.72,6.14,0.12,6.56,3.49,1.95,1.11,3.47
67,1.01,5.72,1.14,5.32,6.14,0.3,7.34,3.66,2.07,1.07,1.45,11.95,3.41,3.33,6.09
68,5.06,3.07,6.72,3.57,7.47,5.11,5.39,2.63,0.39,4.1,4.56,1.17,1.51,1.38,7.87
69,3.44,2.94,5.9,5.91,6.38,4.5,6.63,1.37,2.56,3.7,5.6,1.84,3.04,2.22,3.97
70,6.9,6.73,5.26,2.16,1.28,2.19,2.65,1.95,4.31,0.96,1.4,2.58,10.92,4.05,6.66
71,4.77,0.76,0.82,0.18,4.89,7.14,0.62,2.26,5.69,6.91,5.51,2.72,3.24,0.72,13.77
72,0.06,7.55,1.98,0.98,2.17,0.54,3.04,8.45,6.96,2.48,7.69,7.12,5.69,4.3,0.99
73,2.5,2.37,1.19,7.15,7.18,6.47,7.01,6.43,0.65,3.15,6.03,0.34,4.65,2.33,2.55
74,3.18,4.97,5.63,1.13,3.91,1.47,7.4,2.18,0.43,5.61,7.3,4.79,6.71,3.99,1.3
75,3.23,4.88,0.67,7.99,4.11,4.21,2.33,7.72,1.56,4.32,3.01,0.05,2.34,12.64,0.94
76,4.17,2.91,5.2,2.53,6.7,2.19,7.83,5.06,1.1,3.72,3.37,0.05,0.79,6.63,7.75
77,4.7,5.69,2.91,7.4,3.11,2.97,1.35,2.01,0.24,2.46,7.45,7.62,3.03,4.17,4.89
78,7.95,5.59,2.64,1.84,0.22,1.81,0.92,3.78,8.15,2.15,1.82,5.36,0.78,4.73,12.26
79,3.19,0.91,3.67,8.29,7.21,1.4,1.83,2.01,1.77,5.17,2.86,9.99,1.12,7.88,2.7
80,4.52,3.01,6.56,2.69,7.11,4.11,3.58,1.61,0.03,5.54,6.77,5.4,1.34,5.05,2.68
81,6.84,0.67,7.73,1.91,5.75,3.69,6.2,0.06,5.2,0.2,2.71,8.41,5.7,2.02,2.91
82,6.08,5.24,6.02,1.28,4.45,5.7,0.12,1.35,2.56,2.39,4.6,7.04,1.09,11.3,0.78
83,4.72,3.83,1.65,8.07,1.03,7.37,1.36,0.79,2.32,0.95,10.92,1.91,8.07,1.59,5.42
84,2.8,6.1,7.34,2.04,6.51,6.29,6.4,4.96,0.99,5.43,4.12,2.1,1.6,2.81,0.51
85,0.99,7.54,0.25,6.06,4.34,6.68,5.25,6.56,2.75,2.03,1.79,3.71,2.43,0.45,9.17
86,1.61,1.45,4.21,1.89,3.1,5.83,2.1,4.19,2.34,9.09,6.98,1.57,4.63,7.06,3.95
87,7.79,6.35,2.8,2.37,1.62,1.3,6.78,4.3,3.76,5.27,1.71,2.73,0.22,3.6,9.4
88,4.83,5.07,4.19,1.68,1.71,1.4,4.98,2.75,6.57,1.78,9.28,0.09,0.57,9.94,5.16
89,7.51,2.61,7.07,6.44,2.25,4.8,2.61,2.62,4.54,4.35,4.58,0.55,5.31,2.53,2.23
90,6.73,5.84,6.47,3.93,5.73,0.61,5.96,0.56,3.77,3.44,0.57,2.2,4.37,2.64,7.18
91,0.52,4.9,5.87,7.73,3.83,6.81,3.88,4.85,6.04,2.13,4.08,3.5,3.4,1.59,0.87
92,3.52,4.95,2.03,0.22,5.45,7.2,0.32,4.77,4.36,0.15,10.18,2.21,0.88,10.43,3.33
93,1.56,3.55,6.44,2.84,2.15,4.25,1.13,7.65,1.76,0.1,3.62,1.17,2.09,2.88,18.81
94,6.34,7.14,5.04,1.05,5.29,4.56,1.52,2.21,7.23,5.48,4.73,2.87,0.76,0.05,5.73
95,0.42,8.35,6.04,1.56,3.18,5.88,4.18,4.63,6.93,6.25,2.1,4.64,3.85,0.08,1.91
96,6.32,5.14,6.43,4.12,3.11,5.15,0.07,4.39,2.62,5.8,5.5,4.77,0.87,3.64,2.07
97,5.3,4.65,0.1,0.27,0.67,6.73,2.28,2.74,7.36,3.16,9.36,8.62,1.33,1.13,6.3
98,3.93,7.72,5.02,1.79,4.33,3.7,4.74,1.8,2.47,5.93,2.07,0.17,1.04,1.76,13.53
99,1.36,2.63,1.03,5.22,7.32,0.52,1.36,7.54,8.29,6.48,0.83,0.56,10.94,2.98,2.94
100,1.54,4.9,7.28,7.58,3.89,2.91,3.49,2.0,1.5,2.41,5.6,4.04,1.98,0.7,10.18
101,5.91,7.44,5.14,5.6,4.33,2.85,5.45,1.08,4.4,4.95,4.51,2.46,3.8,0.87,1.21
102,2.98,7.1,2.73,3.56,1.34,2.95,7.82,5.19,3.84,2.46,2.66,8.15,5.54,1.51,2.17
103,2.97,2.29,3.65,2.45,1.39,4.76,3.51,9.58,2.77,6.02,4.5,7.78,2.91,0.08,5.34
104,7.97,0.7,6.18,5.57,3.08,0.98,7.08,2.36,5.31,6.89,4.02,3.14,0.45,2.37,3.9
105,7.66,0.05,5.28,3.12,6.08,3.9,0.98,0.53,6.34,3.87,0.21,4.8,4.08,9.79,3.31
106,7.93,5.14,0.41,2.76,3.27,7.42,4.51,6.12,5.1,0.22,5.37,3.32,4.02,2.31,2.1
107,0.9,8.3,5.54,1.39,7.95,2.16,5.09,0.84,1.81,7.51,1.36,7.08,5.6,2.75,1.72
108,6.87,4.64,1.71,7.58,5.12,6.55,4.06,2.69,4.84,0.47,5.91,2.92,2.52,2.49,1.63
109,7.55,3.81,4.35,1.12,6.13,3.1,7.45,2.04,1.8,1.63,8.16,1.93,1.6,5.47,3.86
110,1.62,5.9,5.99,2.39,3.45,3.1,5.85,4.75,1.09,1.81,1.4,8.06,4.43,3.61,6.55
111,1.86,4.86,2.25,3.71,0.27,6.5,5.45,0.58,2.49,7.42,3.21,3.41,1.28,14.65,2.06
112,5.55,0.69,7.28,4.23,6.85,2.4,5.25,4.15,6.01,2.46,0.96,5.39,5.19,1.67,1.92
113,6.33,1.55,7.61,1.88,4.02,1.31,1.16,4.56,4.67,5.43,3.77,3.86,5.7,3.35,4.8
114,7.49,1.29,7.11,5.21,4.29,3.17,2.19,0.38,7.27,5.65,0.1,7.85,4.6,0.23,3.17
