Trial,Person1,Person2,Person3,Person4,Person5,Person6,Person7,Person8,Person9,Person10,Person11,Person12,Person13,Person14,Person15
1,2.64,1.9,5.64,6.99,6.05,1.53,6.16,1.25,6.09,7.23,3.32,0.21,1.81,5.19,3.99
2,7.93,7.2,3.76,1.82,6.54,1.55,1.83,3.43,6.12,0.92,7.09,1.05,5.91,2.93,1.92
3,1.59,1.23,6.0,6.23,5.6,1.36,2.61,7.09,2.08,3.57,5.17,5.36,6.79,3.68,1.64
4,2.63,2.62,0.58,8.4,0.6,0.16,2.43,3.63,1.85,7.87,11.6,0.02,8.76,5.47,3.38
5,1.71,2.66,3.82,8.34,5.28,3.99,1.96,3.78,2.32,7.28,1.38,7.03,0.23,0.59,9.63
6,5.61,4.23,3.34,3.16,0.55,4.29,3.13,4.83,6.47,4.7,3.04,4.53,3.83,3.17,5.12
7,7.64,0.97,7.29,1.42,5.22,1.95,5.53,2.41,7.54,0.57,2.45,5.72,2.99,4.31,3.99
8,7.4,2.4,4.83,6.57,4.66,1.14,1.24,7.59,1.48,5.21,6.72,4.87,1.79,1.7,2.4
9,1.96,4.46,0.18,3.82,2.88,2.55,0.08,5.14,0.25,6.74,2.21,5.94,5.94,7.19,10.66
10,2.03,5.19,4.75,7.61,5.7,3.46,0.11,7.12,1.68,5.51,6.49,4.18,3.72,0.13,2.32
11,7.37,7.44,6.19,1.07,5.47,3.43,3.33,6.36,2.02,3.86,3.71,2.55,3.46,0.39,3.35
12,0.45,6.9,2.51,5.79,3.48,1.93,1.75,3.28,2.81,9.32,7.05,7.13,4.78,0.39,2.43
13,2.33,5.66,6.73,6.18,1.19,0.46,0.76,0.65,6.82,9.35,1.76,3.61,4.49,9.36,0.65
14,2.92,2.38,4.11,1.22,4.78,4.38,4.43,6.67,8.16,3.68,5.11,0.61,5.53,1.42,4.6
15,6.3,1.0,4.37,0.55,0.84,7.33,5.26,4.37,0.91,2.77,1.67,6.05,6.18,9.85,2.55
16,5.8,3.17,1.26,8.01,0.32,7.33,2.01,1.86,3.16,3.5,4.19,3.4,3.74,12.06,0.19
17,2.37,1.52,0.42,4.29,0.73,4.13,8.12,6.71,2.93,1.87,8.32,0.82,2.47,1.36,13.94
18,0.24,0.33,7.26,6.49,6.08,6.21,3.83,0.05,3.28,1.56,3.75,6.27,4.73,8.41,1.51
19,2.63,6.56,4.28,3.52,6.91,6.38,1.22,1.96,3.18,2.18,4.34,3.86,6.2,2.1,4.68
20,3.41,6.0,6.23,2.43,0.29,5.81,3.32,7.68,4.89,1.13,1.37,6.46,0.62,8.55,1.81
21,3.43,1.87,5.11,6.46,5.43,0.52,1.07,8.67,3.15,1.55,7.28,1.45,3.78,6.81,3.42
22,7.08,2.27,1.8,1.85,5.45,3.5,7.9,3.47,1.26,1.52,9.18,4.95,1.05,5.91,2.81
23,0.08,0.8,0.14,6.49,3.64,6.3,5.86,7.26,8.39,3.15,1.55,5.99,5.64,2.59,2.12
24,4.4,6.49,6.34,3.63,2.1,5.31,1.32,1.54,4.47,0.22,6.41,4.28,1.46,8.66,3.37
25,3.39,4.31,1.41,5.33,6.22,6.62,2.45,7.4,1.24,3.56,1.14,1.37,8.55,1.12,5.89
26,1.57,3.24,4.35,7.13,5.22,1.04,5.9,0.62,2.61,5.09,5.81,3.85,0.03,8.75,4.79
27,4.99,6.0,4.95,0.85,1.88,6.5,1.84,2.78,7.94,2.52,6.86,5.88,3.05,0.77,3.19
28,6.97,5.73,0.72,5.65,4.69,4.08,0.09,2.39,7.23,7.37,3.95,5.31,1.15,4.48,0.19
29,2.13,0.1,2.84,3.27,5.89,5.84,1.95,3.65,8.3,7.63,2.32,7.18,3.88,3.19,1.83
30,5.41,2.85,6.87,5.22,2.02,6.59,4.83,1.9,2.16,3.19,5.82,0.4,2.91,3.56,6.27
31,2.7,1.46,6.95,6.88,1.41,3.25,3.76,8.07,4.51,4.91,4.99,2.35,1.59,1.38,5.79
32,3.26,5.83,6.76,4.17,1.01,3.42,4.64,4.59,4.14,6.17,3.17,1.34,2.65,6.09,2.76
33,4.3,1.32,7.28,2.1,3.77,1.81,4.92,2.67,1.85,3.64,5.23,10.38,5.23,2.11,3.39
34,2.42,6.6,5.22,4.47,1.44,3.15,0.72,8.77,2.38,5.36,0.03,3.06,4.3,3.37,8.71
35,2.6,0.42,7.75,7.22,6.41,5.98,1.86,5.41,2.56,5.2,3.61,5.35,3.69,1.78,0.16
