0.35,0.41,2.04,0.35,0.87,0.63,2.5,0.85
0.13,0.43,3.29,0.29,1.88,0.17,1.77,0.04
1.69,1.05,1.43,0.59,0.85,0.39,0.21,1.79
2.59,0.39,0.54,0.38,0.49,1.4,0.25,1.96
0.5,1.68,0.41,0.94,2.63,0.58,0.88,0.38
1.36,0.67,0.3,0.45,3.15,0.51,0.64,0.92
1.78,0.88,1.75,0.4,1.04,1.1,0.64,0.41
0.37,1.78,0.46,0.55,2.02,0.2,1.21,1.41
0.38,0.56,0.41,0.22,4.9,0.11,0.31,1.11
2.47,0.37,1.08,0.8,0.41,1.51,0.59,0.77
0.56,2.83,0.47,1.7,0.96,0.43,0.75,0.3
1.31,0.89,2.02,1.14,0.28,1.05,0.84,0.47
0.64,1.23,1.2,1.39,0.67,1.42,1.24,0.21
0.42,0.33,0.5,1.14,0.39,3.54,0.61,1.07
0.35,1.73,0.37,2.3,1.15,0.5,1.03,0.57
0.26,0.46,0.78,0.75,3.56,0.27,0.97,0.95
0.95,1.15,1.7,0.27,0.54,0.97,1.59,0.83
0.82,2.48,1.92,0.11,0.56,1.01,0.31,0.79
3.93,0.89,1.07,0.67,0.12,0.64,0.67,0.01
0.59,0.6,1.06,0.27,2.38,1.63,0.62,0.85
2.24,0.83,1.95,0.3,1.05,0.37,0.55,0.71
0.6,0.7,1.12,0.67,0.44,1.92,2.45,0.1
1.22,0.52,1.05,2.07,0.15,2.16,0.48,0.35
1.16,0.35,2.56,1.23,0.81,0.93,0.09,0.87
0.38,1.01,2.87,0.99,0.85,1.37,0.31,0.22
0.37,0.92,1.72,0.38,2.38,0.78,1.18,0.27
0.85,0.77,0.62,3.4,0.21,0.64,0.26,1.25
0.75,1.5,0.31,1.47,0.36,0.61,1.94,1.06
4.03,0.09,0.3,0.08,0.62,0.34,1.68,0.86
2.53,1.55,0.63,0.36,0.53,1.43,0.42,0.55
0.33,0.22,2.79,0.2,0.88,1.95,1.35,0.28
0.81,0.38,0.42,2.4,0.87,0.73,0.13,2.26
1.6,0.29,0.46,0.63,3.24,0.15,0.2,1.43
0.12,0.7,0.51,0.26,1.22,4.4,0.3,0.49
0.71,0.82,0.44,1.96,2.43,0.5,0.33,0.81
0.57,0.48,0.7,2.98,1.19,0.27,0.4,1.41
0.47,0.65,0.8,0.86,2.11,1.11,1.11,0.89
1.91,1.02,0.58,1.84,0.74,0.41,0.51,0.99
0.41,0.29,0.25,1.72,0.32,1.13,0.51,3.37
0.54,2.01,0.67,2.43,0.92,0.52,0.4,0.51
0.64,1.4,0.71,2.09,0.53,0.29,1.91,0.43
0.13,0.15,6.2,0.06,0.02,0.65,0.79,0.0
0.42,0.97,0.91,0.35,0.11,4.72,0.02,0.5
0.75,2.08,1.26,0.45,1.21,0.42,0.71,1.12
0.4,0.28,0.82,3.59,0.24,0.79,0.64,1.24
0.76,0.69,0.95,1.51,1.17,1.04,0.28,1.6
0.78,0.25,0.78,2.94,0.34,0.32,1.01,1.58
0.52,0.99,3.61,0.98,0.72,0.31,0.54,0.33
1.22,2.91,0.76,0.17,0.76,0.9,0.83,0.45
1.36,0.75,1.31,0.46,0.2,2.69,0.5,0.73
1.0,2.29,0.92,0.17,1.57,1.04,0.94,0.07
1.13,0.33,1.06,0.52,2.54,0.49,0.19,1.74
1.26,0.63,1.66,1.61,1.21,0.53,0.26,0.84
0.94,2.17,0.58,0.85,0.76,0.33,1.61,0.76
0.47,0.85,1.74,0.38,0.42,2.09,1.85,0.2
1.4,0.91,1.85,0.71,1.06,0.13,0.58,1.36
0.37,0.55,1.05,0.77,2.74,0.56,0.68,1.28
0.43,0.84,0.2,0.67,1.17,3.91,0.24,0.54
1.12,2.49,0.98,0.48,0.87,0.18,0.94,0.94
1.71,0.57,0.34,0.5,2.4,1.92,0.37,0.19
0.81,1.72,0.44,1.48,1.72,0.45,0.41,0.97
1.08,0.6,3.59,0.21,0.46,1.42,0.48,0.16
1.2,0.6,0.89,1.01,1.5,1.36,0.16,1.28
1.49,1.21,0.65,1.52,0.17,1.35,0.13,1.48
0.88,3.08,0.51,0.36,1.09,1.2,0.31,0.57
0.58,1.27,2.29,1.3,1.08,0.23,0.38,0.87
3.09,0.37,2.04,0.27,0.89,0.61,0.63,0.1
1.04,0.47,0.7,1.98,0.66,0.99,1.46,0.7
0.7,0.46,1.12,0.83,1.5,2.39,0.49,0.51
0.36,0.66,0.94,0.92,1.04,1.3,0.83,1.95
0.71,1.39,1.68,0.56,0.95,1.69,0.51,0.51
1.72,0.34,0.2,1.71,1.42,0.82,0.46,1.33
1.0,0.6,1.27,1.57,0.7,0.81,0.25,1.8
0.32,1.04,0.95,1.54,0.98,0.76,0.16,2.25
0.54,2.03,1.59,0.48,0.54,0.73,1.28,0.81
0.27,1.23,0.64,0.24,0.87,2.13,1.67,0.95
0.97,1.6,2.55,0.74,0.38,0.22,0.31,1.23
0.77,1.13,1.13,1.94,0.69,0.3,0.44,1.6
0.91,1.1,1.56,1.68,0.32,0.6,0.91,0.92
0.72,1.98,0.45,0.43,0.08,0.07,3.31,0.96
0.89,0.82,0.77,1.27,1.53,1.03,1.33,0.36
1.7,1.93,0.61,0.1,0.08,2.24,0.38,0.96
0.33,2.02,0.27,2.42,1.39,0.08,0.86,0.63
0.85,0.39,2.19,1.56,0.63,1.26,0.25,0.87
2.12,0.41,1.63,1.55,0.32,1.02,0.2,0.75
0.3,0.61,2.09,0.48,0.81,2.45,0.59,0.67
1.02,1.52,0.41,1.79,0.25,1.63,0.46,0.92
1.03,1.08,1.09,1.48,0.19,1.34,1.76,0.03
0.27,1.18,0.85,1.24,1.08,1.38,0.48,1.52
0.64,1.28,0.69,1.56,1.02,0.73,1.17,0.91
2.47,0.83,0.33,1.77,1.0,0.93,0.21,0.46
0.9,0.96,1.18,0.2,1.33,0.44,1.77,1.22
1.28,0.64,0.69,1.49,0.8,1.68,1.08,0.34
2.17,1.02,2.09,0.34,0.88,0.34,0.89,0.27
0.46,1.21,1.78,1.28,1.34,0.68,0.43,0.82
0.86,0.77,3.95,1.25,0.16,0.48,0.43,0.1
0.94,0.24,2.05,1.91,0.63,0.6,0.43,1.2
0.59,0.73,1.83,0.65,0.48,2.19,0.45,1.08
0.74,0.77,1.08,0.92,1.77,1.02,0.87,0.83
1.94,0.75,1.94,1.13,0.94,0.14,0.16,1.0
0.67,1.66,0.79,0.99,0.76,1.27,0.12,1.74
0.41,0.32,0.63,3.84,0.92,0.95,0.22,0.71
0.64,1.65,1.19,0.44,0.56,2.91,0.12,0.49
0.66,1.89,0.55,0.18,3.39,0.24,0.48,0.61
2.51,0.42,0.37,0.7,0.31,1.27,0.92,1.5
0.23,2.09,0.38,0.49,0.48,0.24,2.87,1.22
0.52,0.86,1.54,2.92,0.61,0.5,0.72,0.33
0.93,0.1,0.59,3.63,0.24,0.16,0.27,2.08
